retrieval_gt,qid,query,generation_gt
[['ec65cf1d-672f-41d6-9f9c-e15190dce76c']],f4a55336-5d6a-4eb6-b4c1-f19a32fb92bc,신한간편가입올터치종합건강보장보험은 어떤 보험료 납입기간과 가입나이가 적용되는가?,"['가입나이는 만 15세부터 만 80세 또는 90세(년납)까지이며, 보험료 납입기간은 10, 15, 20, 25, 30 년납이 적용됩니다.']"
[['868dd553-886e-41a7-9a54-58945f2bbacd']],1801c301-ec97-4f06-86c1-89fb9d2d5bf1,"올페이 대상계약에서 지급사유가 발생한 경우, 특약보험가입금액의 어느 비율을 지급하게 되는가?","['지급사유가 발생한 경우, 특약보험가입금액의 50%를 지급함.']"
[['5fa29ee9-6b94-40d9-96c9-e1031c3bbe0b']],80dcd443-c3a0-44a8-baf0-8214d3f196c6,"암직접치료입원특약(무배당, 갱신형)의 암 보장 대상 중 제자리암 보장 금액은 얼마인가?",['각각 1회 입원당 만원.']
[['b4e39894-ccd6-48e8-83bb-e51a718b1f1f']],1240d8ee-e6e9-41aa-918a-8fae736d6271,"간편 소액암진단특약(무배당, 해약환급금 미지급형)의 가입금액은 얼마인가?",['200만원.']
[['9caf658e-1c09-4205-a43e-1ebbac9cf448']],550fcb63-e34b-4435-a2a4-540e6e3d5b89,간편 항암세기조절방사선치료특약 무배당 갱신형과 동시에 가입 가능한 특약은 무엇인가?,['간편 카티 항암약물허가치료특약 무배당 갱신형.']
[['eddda396-035d-4799-9507-813c1f891323']],95c59616-66fa-4b08-98b2-e8dd2359617b,"검사를 받고, 이를 통하여 다음과 같은 의료행위를 받은 후에 개월 이내에 의사로부터 진찰이나 검사(건강검진 포함)를 받아야 하는지 확인해야 하는 사항은 무엇입니까?",['최근 3개월 이내에 의사로부터 진찰 또는 검사(건강검진)를 받은 경우입니다.']
[['3bf2c6e3-1405-4b63-89bf-cde556629e78']],52c8f8f5-6168-4a96-89f2-b0beb6a90e1c,"신한간편가입큐브종합건강보장보험(무배당, 해약환급금 미지급형)의 해약환급금은 어떤 형태인가요?",['해당 상품의 경우 해약환급금이 미지급 형태입니다.']
[['d83f5459-4b23-40ee-bd30-2a52ac80f24e']],c2565986-63ec-4483-b3d4-e07e70c36b7e,SHINHAN LIFE 666의 특약은 무엇인가요?,"['(간편)깁스치료특약(무배당, 해약환급금 미지급형)입니다.']"
[['2e962084-b08e-4d3b-8a20-f2edb2b6637d']],d2014aab-51af-4159-a662-4f21bda14ead,"1-5종수술특약(무배당, 해약환급금 미지급형)의 보장내용 중 2종 보장계약의 종수술급여금은 얼마인가요?",['2종수술급여금은 20만원입니다.']
[['40fdaa54-9d00-4335-b1c5-aa68ff7afe08']],e8aeeb62-2ea3-45d6-b7c6-0cb433396799,요양병원암입원특약 무배당 갱신형의 가입금액 기준은 어떻게 되는가?,['100만원 기준.']
[['81c351f7-fcc9-4d96-8834-a3ca11700d65']],ab156446-5c20-4e57-be3b-e774aa7b6956,암직접치료입원급여금의 지급사유가 발생한 후 계약일로부터 1년 이상이 된 경우에는 어떻게 될까요?,['암직접치료입원급여금은 삭감하지 않고 계속 지급됩니다.']
[['bb22e720-063e-4ef9-91a0-b2d3fe27a688']],c40a1fe0-aef9-4ec3-8c4c-e2aa73c04f36,입원급여금의 지급일수는 어떻게 결정되는가?,"['입원급여금의 지급일수는 1회 입원당 최대 180일을 한도로 하며, 특약이 갱신되어 전후에 계속되는 경우에는 총 입원일을 기준으로 결정된다.']"
[['0b675f62-5784-4621-931f-90b8bcda148f']],40ba3529-a0eb-42eb-aeb4-9b13f0598074,"뇌졸중진단특약(무배당, 갱신형) 상품의 보험금 지급 대상은 무엇인가?",['첫 진단후 동일한 질병 반복을 제외한 뇌졸중으로 진단받은 경우.']
[['75440cd9-531a-49ef-8069-354a41aa7243']],82be725c-90b3-4cff-b474-d5a567e61af0,암 주요치료비 본인부담금이란 무엇을 의미하나요?,"['""암 주요치료""를 받고 해당 치료로 인하여 발생한 비용 중 환자 본인이 부담해야 하는 금액을 말합니다.']"
[['4b1608f8-88bc-4e44-995d-a93511357f2e']],664ba9d4-f332-41d7-be0c-18fc0eefe773,보험료납입면제대상계약 특약에 따라 대상계약의 월보험료에 추가납입보험료가 어떻게 적용되는가?,"['대상계약의 월보험료는 추가납입보험료를 제외한 금액으로 적용되며, 추가납입보험료에 따른 월보험료는 대상계약이 변경될 때마다 변경됩니다.']"
[['34b49dac-e33f-43d9-8e76-8b249ff283f7']],f42eafed-037c-40a0-8b07-2a16136a84a1,"소액암진단특약(무배당, 갱신형)의 상품번호는 무엇인가?",['2212152200000003193.']
[['89eb98cf-a146-4159-9101-932d0387b2e2']],10dd1516-0ed3-4494-9a6e-739966671f6e,이 특약의 보험금이 더 이상 지급사유가 발생하지 않는 경우에는 어떤 상태가 될까요?,['그 특약은 더 이상 효력이 없습니다.']
[['81f10b2f-c97d-4370-9c2a-59034a2d4987']],69b96612-eadc-484d-b445-f00b5a77302d,SHINHAN LIFE 1512 상품의 장해분류표에 관련된 내용은 무엇인가요?,['SHINHAN LIFE 1512 상품의 장해분류표에 관련된 내용은 [별첨2] 표 3. 장해분류표 1513 입니다.']
[['ce4d78c3-afe5-4811-941a-7fc82875c48f']],88b0a6e0-b2a5-4cd8-a48f-d3fa49cd22f8,"[50%장해납입면제형]보험료납입면제특약(무배당, 갱신형)의 보험종목의 명칭은 무엇인가?",['[50%장해납입면제형].']
[['e1afb3f0-121d-4fa8-afd7-b0d2b800879c']],abf991da-f6d2-41c2-b3e5-a4ef9524af6f,"특약보험기간 중 피보험자가 사망한 경우, 회사가 적립한 사망당시의 계약자적립액을 어떻게 지급하나요?",['회사는 서에서 정하는 바에 따라 사망당시의 계약자적립액을 계약자에게 지급합니다.']
[['c0eb2229-2a55-400b-bb91-5181e1ea469f']],3d22defe-1517-407a-8119-336dcbfdc8f2,SHINHAN LIFE 452의 허혈심장질환진단특약의 특징은 무엇인가?,"['무배당, 해약환급금 미지급형입니다.']"
[['992422cf-08ae-4ec8-b8b4-f29da98cb220']],71dba3aa-ef7b-438e-9d39-5be3175591da,'연간'이란 무엇을 의미하는가?,"[""'연간'이란 계약일로부터 매 1년 해당기간을 의미합니다. 계약해당일이 없는 경우에는 해당 월의 마지막 날을 계약해당일로 합니다.""]"
[['224b70a7-4ad3-4225-a82e-26e6443d516d']],7334b83a-bf16-4986-8e6f-11463ea4813e,중증질환자[심장질환]산정특례대상에 해당하는 수술이나 약제투여를 받은 날을 기준으로 중증질환자 심장질환 산정특례가 적용되는 것은 어떤 경우인가요?,['중증질환자 심장질환 산정특례가 해당하는 수술이나 약제투여를 받은 날을 기준으로 적용됩니다.']
[['9de56a69-73ac-4d44-ac12-b56bc2a18408']],329c3ec9-57a3-44cf-a5d8-23225af14147,"신한간편가입큐브종합건강보장보험의 해약환급금은 어떤 종류가 있고, 그중 무배당인 것은 무엇인가요?","['미지급형과 일반형 중에서, 무배당인 것은 미지급형입니다.']"
[['b65d5990-081f-48f6-b343-ada03cd3e5a8']],1b5406ca-5d3f-4c4d-910a-5ddde94d125e,어떤 상황에서는 화상 및 부식에 대한 보험금이 50%로 삭감될 수 있는가?,['계약일부터 2년 미만에 지급사유가 발생한 경우.']
[['fc195f90-4051-433f-bb47-ef72c7e56428']],fdb85298-55e3-410b-81fa-adf9609ab42b,신한라이프의 간편 재해장해특약의 특징은 무엇인가?,"['무배당, 해약환급금 미지급형입니다.']"
[['067a2f0a-81cb-41d2-a49e-a2f57691e999']],8b482bdd-3b5a-4c24-94e6-8478c0862dde,보험가격지수란 무엇을 나타내는 지에 대해 설명해 주세요.,['보험가격지수는 해당 상품의 보험료 총액과 평균 사업비 총액을 합한 금액으로 나눈 비율을 나타내는 지표입니다.']
[['b8e7d8c3-1bd5-4caf-8b27-61be62beb931']],db0e794d-de33-44f6-ba09-70dd8d0ab3dc,년이 되는 시점의 계약해당일의 전날까지 년 미만인 보험상품은 어떤 경우에 해당되는가?,['최초계약의 계약일부터 1년이 되는 시점의 계약해당일까지 해당된다.']
[['dfc12c9d-14c0-496c-a2ec-d4850f8563a0']],b0ecc845-ea1d-4a57-bcaf-a63a9b8d1758,특약보험기간 중 피보험자의 사망으로 이 특약이 소멸하는 경우에는 무엇을 지급하지 않는가?,['계약자적립액 등을 지급하지 않습니다.']
[['c503d86f-7e5e-4b70-8f28-508734b40b67']],fe5d5a7b-0bd8-4582-b281-501f122da7f8,"""여성유방암 및 전립선암"" 이외의 암과 중증 갑상선암으로 진단확정된 경우, 암생활비보장급여금은 어떻게 지급되는가?","['경우가 해당되는 날을 최초로 하여 매월 해당 월의 말일을 ""암생활비보장급여금 지급해당일""로 지급하며, 해당일이 없는 경우 해당 월의 말일을 지급해당일로 봅니다.']"
[['b4fe7e92-be02-487a-a06d-6f8f7ae79fd6']],0013d3b0-7f44-413c-b409-238a6578e599,진단확정일로부터 최대 5회에 걸쳐 지급되는 주요치료는 무엇인가요?,"['""암 대장점막내암 비침습방광암""의 주요치료를 합하여 지급되며, 최대 한하여 5회에 걸쳐 지급됩니다.']"
[['39d90792-aee7-4b40-ac53-fc1c4eca915f']],09c193f8-c65f-4861-9571-a56386871cb0,"""기타피부암 또는 갑상선암""의 직접적인 치료를 위한 수술, 항암약물치료, 항암방사선치료를 포함하는 것은 무엇인가?","['「기타피부암 또는 갑상선암」의 직접적인 치료를 위한 수술, 항암약물치료, 항암방사선치료를 포함합니다.']"
[['b89c1169-2932-4d17-a5af-c2ba6736377d']],dc19ab9e-1f85-49e1-a89b-26f535b1d6f0,계약의 연체로 인해 해지된 경우 보험료의 납입이 연체된 사실을 고객에게 통지하는 과정은 무엇인가?,['납입최고와 함께 고객에게 통지가 이루어진다.']
[['aa70b503-441a-485b-9620-3eaedcc88343']],0a42de66-7135-4ed8-8cd0-1a51a300d723,중증 갑상선암 보장개시일에서 보장개시일로부터 얼마나 지나면 효력이 부활되는가?,['보장개시일로부터 90일이 지난날에 효력이 부활됩니다.']
[['5d58c28b-ace8-496c-bef0-0ccef9fef89b']],19f65514-e529-4d1d-bf99-5a820d2d2354,이 특약의 효력이 없어지는 경우에는 어떠한 지급도 이루어지지 않는가?,['계약자적립액 등을 지급하지 않습니다.']
[['93ad139c-c584-49d9-92f8-32e83d6ff9a3']],744bf551-bb48-42e0-b2ab-a98d0d2624e1,보험료면제에 관한 특약에서 정한 바를 따르는 경우에만 보험료가 면제되나요?,"['네, 해당 특약이 해당 약관의 정한 바를 따라야 보험료가 면제됩니다.']"
[['653dd0ba-f7a2-4713-9b10-cd8d2493086b']],231e772d-7ed7-474c-903e-81705ec7bf83,어떤 경우에 해당 의약품의 사용을 신청 또는 신고한 요양기관에 한해 사용된 경우에는 보장이 되는가?,['해당 의약품의 사용을 신청 또는 신고한 요양기관에 한해 사용된 경우에는 보장됩니다.']
[['72360868-3185-4be0-b0d9-0d88e477af16']],cd9909b7-d9b2-439f-ac18-fcb6df73558b,간편 중증질환자 뇌혈관질환 산정특례대상보장특약(무배당 갱신형)의 보험종목의 명칭은 무엇인가?,['중증질환자[뇌혈관질환]산정특례대상보장특약(무배당).']
[['ae297e19-3184-4e98-a498-13e1836c024b']],8c193e68-2ff0-46e8-b0d1-58072817282a,해약환급금 미지급형 상품은 어떤 경우에 계약의 보험료를 동일한 금액으로 받을 수 있도록 하는가?,"['납입기간이 ""일반형""보다 낮은 경우에 동일한 보장을 받을 수 있도록 한다.']"
[['354b3630-bb9f-4645-ae4c-4e60cd8ccb5d']],847360c2-e2f5-413d-a2af-49d17526c647,간편 특정순환계질환진단특약 무배당 해약환급금 상품의 보험종목의 명칭은 무엇인가?,"['간편 특정순환계질환진단특약(무배당, 해약환급금 미지급형).']"
[['fe60c4cd-4bc3-49f1-b962-268278823fa5']],21e63da0-2bc7-4901-875d-44aa9ea84b6e,해약환급금이란 무엇을 의미하는가?,['보험상품 해약 시 고객에게 지급되는 환급금을 의미합니다.']
[['393749b9-eba1-4c72-a509-967259b504e5']],9c15673d-5632-419a-a63e-e4c2d5a3ca05,보험금 지급사유가 발생하지 않는 경우에는 어떤 조항이 적용되는가?,['「이 특약의 피보험자가 특약보험기간 중 사망하거나 이 특약의 보험금 지급사유가 발생할 수 없는 경우」 조항이 적용된다.']
[['389a5934-78b7-47a3-9f78-e2914e62dffd']],19dd8a7f-cd2a-4c28-bbaf-8ed6f8a671c2,입원급여금의 입원이 갱신되어 입원일당 계산되는 최고한도 일수는 몇 일인가?,['30일을 최고한도로 하여 계산합니다.']
[['4af32944-b9dc-4e52-b9c3-d4d45b4ac68c']],9acd0e32-4999-4b38-8216-3b9f77855927,SHINHAN LIFE 1150 상품의 특약은 무엇인가?,"['(간편)첫날부터상급종합병원입원특약(무배당, 갱신형).']"
[['3a0c3161-36a2-442f-a3a0-a815b95034c9']],4c946c32-fd5f-4de1-8b33-a7fa615cdd98,암보장 개시일은 언제로부터 시작되는가?,['암보장 개시일은 계약일(부활일)로부터 그 날을 포함하여 90일이 지난 다음 날부터 시작됩니다.']
[['9d400233-56c1-4883-ba94-2c11b1ffe580']],0c870a5e-ba78-4ab9-b512-c68efa53e5d7,신한올터치종합건강보장보험의 보험료를 할인 받기 위해 필요한 요건은 무엇인가요?,['보험료 할인을 적용받기 위해서는 가족관계증명서 또는 주민등록등본 등 가족관계를 확인할 수 있는 서류를 제출해야 합니다.']
[['4bb0738c-2063-4b32-91c3-49b05164dbb6']],0a510ee4-e839-4ce0-82d6-9de905fa06c9,신한간편가입큐브종합건강보장보험 무배당 해약환급금 미지급형의 특약보험기간이 없는 특약은 어떤 경우에 효력이 없어지는가?,"['피보험자가 주계약이 해지, 무효, 효력이 없어지거나 철회된 경우, 특약은 그때부터 더 이상 효력이 없습니다.']"
[['a44d5b38-112b-4ff4-ab69-a69806a5e36e']],160a0d2c-c6ad-4e42-acc3-73eca2749a68,보험계약대출에 관한 사항 중 이자를 차감한 금액의 범위는 무엇인가?,['이자를 차감한 금액의 범위는 해당사항 없음입니다.']
[['a13a6c62-1cf2-41d9-9fff-ac56d928ccb9']],807f1e9e-576e-49cd-b346-7ea5c549088a,가족할인을 받기 위해 어떤 조건을 만족해야 할까요?,['신청일 이후 계약을 체결하는 경우에는 납입하기로 한 보험료를 5% 할인 받을 수 있습니다.']
[['7139dfbd-c949-46dc-8805-8f2991fd78fa']],895b5635-778d-4fba-a9c5-c9b362954ec1,"SHINHAN LIFE에서 판매하는 (간편)3대질병수술보장특약(무배당, 해약환급금 미지급형)의 상품번호는 무엇인가?",['557.']
[['249e5edb-6a2c-47a5-853c-7a77bfa4a69d']],03bbf578-4dbd-41cb-b973-eadba5124dd7,"깁스치료특약(무배당, 해약환급금 미지급형)의 보험종목의 명칭은 무엇인가?","['깁스치료특약, 무배당 해약환급금 미지급형.']"
[['8a314e14-1d6f-43b1-84fc-2ee4ed27d0a7']],b7cfbaf5-36d4-4c69-8340-3694697ca215,보험금 청구시 연간 암 주요치료비 본인부담금 총액을 기준으로 하는 보험상품은 무엇인가?,['해당 보험금 청구일의 연간 암 주요치료비 본인부담금 총액을 기준으로 하는 종합병원 암 주요치료지원금을 지급하는 보험상품입니다.']
[['480fb73e-b63a-4a86-a036-58fa98981bb9']],eeea46c0-520b-407e-bd70-b177f54b2001,대상포진 진단급여금을 받을 수 있는 횟수는 얼마인가요?,['대상포진 진단급여금은 최초 1회만 받을 수 있습니다.']
[['3e92ee5f-2ad9-4963-b147-937b88cbcd97']],ae71d425-4ae4-4f9d-8aba-5a1cd817e74a,SHINHAN LIFE 576 상품의 특약 내용은 무엇인가?,"['(간편)3대질병수술보장특약(무배당, 해약환급금 미지급형).']"
[['8015a37a-6fda-436b-b2de-14afe2d7cb59']],be0806ce-16f1-49b1-97a2-527b5ee800c8,"일반암진단특약(무배당, 갱신형 갱신형)의 특약보험가입금액의 100%를 언제 지급하는가?",['최초계약의 계약일부터 1년 미만에 발생한 경우.']
[['56a1cd43-2a52-4e45-bfcd-44f086c622e9']],293b9661-5169-43ac-9a92-7c2df8372b2f,생명보험상품 전체의 평균 사업비율을 반영하여 계산한 보험가격지수는 무엇을 의미하는가?,['보험요율을 적용하여 보험금 지급을 산출한 상품군별 생명보험상품 전체의 평균 사업비율을 반영하여 계산한 값을 말한다.']
[['54ec3667-6d67-45b5-b15b-07be2f30f103']],16a88ab6-4447-4dbb-bc95-ab0f7cca28c0,항암양성자방사선치료급여금의 지급사유는 무엇인가요?,['항암양성자방사선치료급여금은 암 진단으로 인해 항암치료를 받을 경우에 지급됩니다.']
[['eef9212a-138d-4e94-ae86-a49d8ccdd189']],7e1af761-e13c-4f64-9d9d-9203a0aa87f9,보험상품의 종류에 따라 보험계약대출이 제한될 수 있는 경우가 언제 발생할 수 있는가?,['보험상품의 종류에 따라 보험계약대출이 제한될 수 있는 경우는 장성보험 등의 종류에 따라 발생할 수 있다.']
[['c5a43d0e-7054-43f6-a16a-bd2682818463']],19c1fe25-0411-419b-98c5-232ef21b21b4,해약환급금을 구하는 방법에 대해 설명해주세요.,['해약환급금 = 납입보험료 누계액 × 해약환급률.']
[['2aeb9038-f38f-4a46-94a0-e3e45d4bf7d1']],9ad8bc0e-cd11-44bb-940a-e325124d1fee,신한생명 476 상품의 특약 형태는 무엇인가?,"['일반암납입면제형 보험료납입면제특약(무배당, 갱신형).']"
[['aec2f7db-08cc-43a3-a48f-555cc5d9b88e']],b751ee5a-46c6-4ecd-a247-d67f4c068213,위험률이 낮을 때 보험료는 어떻게 되나요?,['위험률이 낮을 때 보험료는 내려갑니다.']
[['6e2cdb11-926b-4c9f-82aa-500160e76901']],8fea5dc2-40f0-4cae-9019-e1cc92888422,중증질환자[뇌혈관질환]산정특례대상에 해당하는 수술을 받은 날을 기준으로 적용되는 중증질환자 뇌혈관질환 산정특례는 몇 회에 한하여 보장되는가?,['중증질환자 뇌혈관질환 산정특례는 연간 1회에 한하여 보장됩니다.']
[['9452604c-54ac-497d-a442-b0b49b0c1653']],24891f20-f075-4d23-8cca-cf301b2d8f9b,중증 갑상선암 보장개시일이란 언제부터 시작되는가?,['계약일[부활(효력회복)일]부터 90일이 지난날의 보장개시일을 포함하여 시작됩니다.']
[['913e36d3-399b-4f6d-9a68-59ea6dfafcf7']],778f230e-156f-4ef1-adba-fc77773ffa3c,특약보험가입의 경우 지급되는 금액은 어떤 비율로 지급이 이루어지나요?,"['특약보험가입의 경우, 금액의 1%에 해당하는 금액을 만 0.5%의 비율로 지급합니다.']"
[['2abfb7a1-5f0a-4c0f-9e49-02a763e44545']],3b4b8b24-e164-4b84-bc13-3a2c3b91748b,특약보험가입금액의 100% 특약보험가입금액은 무엇을 뜻하나요?,['특약보험가입금액의 100% 특약보험가입금액은 보험금 청구시 만기해지시 최초주체의 생존이 확인된 날 현재가치를 뜻합니다.']
[['2275c0d2-4786-4317-897e-d8c967e04c89']],dfa1135c-14a5-4543-b929-7cae49d70c0c,중증질환자[심장질환]산정특례가 적용되는 경우에 회사가 적립한 사망당시의 계약자적립액을 어떻게 지급하나요?,['중증질환자[심장질환]산정특례가 적용되는 경우에는 회사가 적립한 사망당시의 계약자적립액을 계약자에게 지급합니다.']
